1024	1024	10	1	0.108584
1024	1024	10	2	0.104098
1024	1024	10	4	0.101356
1024	1024	10	6	0.100728
1024	1024	10	8	0.10142
1024	1024	10	10	0.102416
1024	1024	10	12	0.102576
1024	1024	10	14	0.103092
1024	1024	10	16	0.102645
1024	2048	10	1	0.217097
1024	2048	10	2	0.208012
1024	2048	10	4	0.202446
1024	2048	10	6	0.201196
1024	2048	10	8	0.202602
1024	2048	10	10	0.200997
1024	2048	10	12	0.202925
1024	2048	10	14	0.202449
1024	2048	10	16	0.200104
1024	4096	10	1	0.443928
1024	4096	10	2	0.422311
1024	4096	10	4	0.40953
1024	4096	10	6	0.407749
1024	4096	10	8	0.410352
1024	4096	10	10	0.411716
1024	4096	10	12	0.406786
1024	4096	10	14	0.404751
1024	4096	10	16	0.405656
1024	8192	10	1	0.918507
1024	8192	10	2	0.875624
1024	8192	10	4	0.853238
1024	8192	10	6	0.846222
1024	8192	10	8	0.845242
1024	8192	10	10	0.844728
1024	8192	10	12	0.842957
1024	8192	10	14	0.841284
1024	8192	10	16	0.843043
2048	1024	10	1	0.215952
2048	1024	10	2	0.206768
2048	1024	10	4	0.20261
2048	1024	10	6	0.20106
2048	1024	10	8	0.200076
2048	1024	10	10	0.20124
2048	1024	10	12	0.201605
2048	1024	10	14	0.201552
2048	1024	10	16	0.202916
2048	2048	10	1	0.448933
2048	2048	10	2	0.428655
2048	2048	10	4	0.419453
2048	2048	10	6	0.416772
2048	2048	10	8	0.41361
2048	2048	10	10	0.416649
2048	2048	10	12	0.416358
2048	2048	10	14	0.416669
2048	2048	10	16	0.415085
2048	4096	10	1	0.90956
2048	4096	10	2	0.875225
2048	4096	10	4	0.850181
2048	4096	10	6	0.846162
2048	4096	10	8	0.848354
2048	4096	10	10	0.845786
2048	4096	10	12	0.844897
2048	4096	10	14	0.839731
2048	4096	10	16	0.83967
2048	8192	10	1	1.81661
2048	8192	10	2	1.74248
2048	8192	10	4	1.70007
2048	8192	10	6	1.69138
2048	8192	10	8	1.6779
2048	8192	10	10	1.69569
2048	8192	10	12	1.68514
2048	8192	10	14	1.68569
2048	8192	10	16	1.67545
4096	1024	10	1	0.442123
4096	1024	10	2	0.421842
4096	1024	10	4	0.411939
4096	1024	10	6	0.408433
4096	1024	10	8	0.407323
4096	1024	10	10	0.411719
4096	1024	10	12	0.409502
4096	1024	10	14	0.410187
4096	1024	10	16	0.408403
4096	2048	10	1	0.912344
4096	2048	10	2	0.877248
4096	2048	10	4	0.85321
4096	2048	10	6	0.847141
4096	2048	10	8	0.847884
4096	2048	10	10	0.847637
4096	2048	10	12	0.842342
4096	2048	10	14	0.843205
4096	2048	10	16	0.843789
4096	4096	10	1	1.85014
4096	4096	10	2	1.77802
4096	4096	10	4	1.73442
4096	4096	10	6	1.71818
4096	4096	10	8	1.71445
4096	4096	10	10	1.71601
4096	4096	10	12	1.71249
4096	4096	10	14	1.71506
4096	4096	10	16	1.70907
4096	8192	10	1	3.74957
4096	8192	10	2	3.59725
4096	8192	10	4	3.52414
4096	8192	10	6	3.51137
4096	8192	10	8	3.51752
4096	8192	10	10	3.51462
4096	8192	10	12	3.52281
4096	8192	10	14	3.51738
4096	8192	10	16	3.50315
8192	1024	10	1	0.897772
8192	1024	10	2	0.858823
8192	1024	10	4	0.834476
8192	1024	10	6	0.831455
8192	1024	10	8	0.826519
8192	1024	10	10	0.836099
8192	1024	10	12	0.834282
8192	1024	10	14	0.828427
8192	1024	10	16	0.829566
8192	2048	10	1	1.81432
8192	2048	10	2	1.74227
8192	2048	10	4	1.70214
8192	2048	10	6	1.68732
8192	2048	10	8	1.66989
8192	2048	10	10	1.68413
8192	2048	10	12	1.67938
8192	2048	10	14	1.67692
8192	2048	10	16	1.67047
8192	4096	10	1	3.68811
8192	4096	10	2	3.53903
8192	4096	10	4	3.45786
8192	4096	10	6	3.44092
8192	4096	10	8	3.48388
8192	4096	10	10	3.42764
8192	4096	10	12	3.42027
8192	4096	10	14	3.41485
8192	4096	10	16	3.40732
8192	8192	10	1	7.61782
8192	8192	10	2	7.32395
8192	8192	10	4	7.16271
8192	8192	10	6	7.11692
8192	8192	10	8	7.09474
8192	8192	10	10	7.13922
8192	8192	10	12	7.13105
8192	8192	10	14	7.10097
8192	8192	10	16	7.11134
